"","ISEQ","AEX","IBEX","WIG20"
"2003-01",-0.00612510289594126,-0.0861091564242533,-0.0147756819276897,-0.0508403933176824
"2003-02",-0.0454797500394641,-0.0974096792743631,0.0086923947464943,-0.0144998969413999
"2003-03",0.0366070511538692,-0.0663761639209101,-0.0214854868801956,-0.00562885904209376
"2003-04",0.0702315685609347,0.137161072503933,0.105442488508226,0.0164151806127115
"2003-05",0.00243778294123254,-0.00728867410945988,0.0029277341220828,0.0728867695352917
"2003-06",0.0154072677790413,0.0391345501160429,0.0543136469675181,0.0499555540647065
"2003-07",0.031085355393869,0.0889727424718674,0.0291022888288031,0.107880801578237
"2003-08",0.0414582124896925,0.0375445348686427,0.00702375618793738,0.180542138274097
"2003-09",-0.0235953421049521,-0.0686985966582849,-0.0573312402979662,-0.0978791228252307
"2003-10",0.0618646867967876,0.0764065521755219,0.0635330034735631,0.0709155525469622
