"","date","LRHUTTTTKRM156S"
"2020-03",3.63,3.7
"2020-04",3.64,3.8
"2020-05",3.65,4.2
"2020-06",3.66,4.2
"2020-07",3.67,4.2
"2020-08",3.68,3.6
"2020-09",3.69,4.1
"2020-10",3.7,4.3
"2020-11",3.71,4.2
"2020-12",3.72,4.5
"2021-01",3.73,5.2
"2021-02",3.74,3.9
"2021-03",3.75,3.8
"2021-04",3.76,3.7
"2021-05",3.77,3.7
"2021-06",3.78,3.6
"2021-07",3.79,3.3
"2021-08",3.8,3.1
"2021-09",3.81,3.1
"2021-10",3.82,3.2
"2021-11",3.83,3.2
"2021-12",3.84,3.8
"2022-01",3.85,3.6
"2022-02",3.86,2.7
"2022-03",3.87,2.7
"2022-04",3.88,2.7
"2022-05",3.89,2.8
"2022-06",3.9,2.9
"2022-07",3.91,2.9
