"","IRSTCI01CAM156N","CPGRLE01FRM657N","NBDEBIS","CSINFT02DEM460S","CPGRLE01DEM657N","IRSTCI01DEM156N","TRESEGDEM052N","DEULOCOSINOSTSAM","DEULOCOSIORSTM","CCRETT01GBM661N","CCUSSP01GBM650N","IRLTLT01GBM156N","CUSR0000SAD","PCU311212311212","PCU212210212210","DPCCRC1M027SBEA","MICH","EMVMACROINFLATION","PCU212322212322","CUSR0000SETB01","PCU311311","HQMCB100YR","HQMCB10YRP","HQMCB1YR","BAMLC0A2CAAEY","BAMLH0A3HYCEY","BAMLHYH0A3CMTRIV","DTP30A29","CPN3M","EMVMACROINTEREST","M2REAL","T3MFFM","T10Y2YM","T10Y3MM","T6MFFM"
"2017-10",1.40000000000001e-05,0.000178894386340726,-0.00118506814141817,-0.027,-0.00400631046789941,-0.00359,0.0189814849154171,0.6292286939712,0.00391,3.3163543950745,-0.0123281530185295,0.00138,-0.00263014578670695,0.00754242614707734,-0.00752445447705041,0.00351438781904712,0,-1.49881,5.69999999999999,-0.04057795769588,1,0.0442,0.000600000000000003,0.000699999999999999,0.000681818181818183,0.103372727272727,0.00999602225471019,0.00128511904761905,3e-04,-1.49881,0.00326856075571991,1e-04,-9.99999999999977e-05,0.0012,0.001
"2017-11",-3.89999999999991e-05,0.00103547786591162,0.000593237097093136,0.031,0.00203831349161549,-0.003492,-0.00369505734219533,0.559641993176811,0.00135390909,1.3335676092734,0.0170587790301837,-0.000517,0.00405891478672349,0.0174672489082968,-0.0098559514783928,0.00678475287128366,0.001,-3.28072,7.19999999999999,0.0452897392575002,0.0999999999999943,0.0442,-0.000199999999999999,0.0017,0.000590909090909093,0.107809090909091,-0.00673615941732475,-0.000119318181818182,0.000700000000000001,-2.39599,-0.000733925247028422,5e-04,-0.0016,-0.0017,0.0023
"2017-12",5.39999999999985e-05,0.0009080494081308,0.00177865612648209,-0.034,0.000236660128077421,-0.003423,-0.0427290049251698,0.50529196625061,0.000570373430000001,0.201232137689701,0.00498345048160975,-0.000517999999999999,0.00220064904758788,-0.00122624156958917,-0.0329249617151608,0.00732576170319765,0.005,0.902439999999999,5.89999999999998,-8.73713456933656e-05,-1.40000000000001,0.0425,9.99999999999959e-05,0.0015,0.000460227272727268,0.106780681818182,0.00825175725430616,-0.00011103896103896,0.0015,0.629709999999999,0.00137935976210524,7e-04,-9e-04,-0.000400000000000001,0.002
"2018-01",0.002491,0.00169334080560379,0.00384691260603676,0.011,0.000543370280091481,-0.003624,0.00601766401947423,0.471390361288002,0.00226636364,1.9781022024208,0.0518447242518298,0.00115,-0.00328581352769053,0.000613873542050225,-0.0419635787806809,0.00189717005466861,0.001,1.44242,7.39999999999998,0.0295035126350005,-0.699999999999989,0.0427,0.0012,0.0014,0.00121783596837945,0.101715217391304,0.0190162022694551,7.76397515527948e-05,0.0016,-0.299049999999999,-0.00262969588550976,0.0015,-1e-04,9e-04,0.0021
"2018-02",-9.40000000000003e-05,-0.00111711588583033,0.00196521568242125,0.0110000000000001,-0.00039320008125215,-0.003647,0.00700687729840554,0.442854129385992,0.004009,1.31709033318411,-0.0303616661217024,0.002103,-0.000591526959637823,0.0245398773006136,0.0123966942148761,0.00592988779722115,0,8.52537,6,0.0201959760822608,0.299999999999983,0.0441,0.003,0.0019,0.00258739130434783,0.105905,-0.00598581235237183,0.00190521739130435,0.000999999999999997,8.52537,0.000233171309167224,0.003,0.0013,0.0012,0.0037
"2018-03",9.00000000000015e-05,0.0038462208192127,0.00127488477003035,-0.032,0.00214091478377189,-0.003639,0.00806376154167765,0.403053438659001,0.0017986294,2.63334456861929,0.0203911329112481,-0.000954,0.000448391361368095,0.00658682634730545,0,0.00281536645173008,0.003,2.2921,7,-0.0258777038269551,0.500000000000028,0.0454,0.000600000000000003,0.0022,0.00136695652173913,0.106063043478261,-0.000780934547923273,-0.00014340909090909,0.0021,1.69344,0.00340709392820004,0.0026,-0.0012,-0.0016,0.0041
"2018-04",3.9999999999988e-06,-0.00047666797999636,9.79431929482022e-05,0.00999999999999995,-0.00428076200715156,-0.003657,-0.0215715904461398,0.352636277060995,0.00252544444,1.95982270500561,-0.0239305906197774,2.80000000000002e-05,-0.00334871974616302,0.00713860797144572,0.0922448979591837,0.00434703857996732,0.002,2.82355,7.10000000000002,0.0123708786868164,0,0.0452,0.000600000000000003,0.000700000000000003,0.00071066252587991,0.101442857142857,0.00637436972613159,-0.00013111471861472,0.001,2.36074,-0.00067910501108015,0.0019,-0.000700000000000001,-3e-04,0.0029
"2018-05",-2.69999999999992e-05,0.000905419161304574,-0.0065615512682401,0.0170000000000001,0.00517217197849386,-0.003625,-0.00193636376566042,0.290902839088005,0.00109336364,0.0623303706323952,-0.0290710382513661,-9.20000000000001e-05,-0.00102470538753596,0.0112226816302421,0.0366218236173392,0.00604967620296737,0.002,0.50811,7.5,0.0187998785199683,-2.8421709430404e-14,0.0468,0.00139999999999999,0.000299999999999998,0.000969772256728785,0.098595652173913,0.0105130048166258,0.000866045548654245,0.000299999999999998,2.85177,0.00128759969956005,0.0021,-0.000200000000000001,0,0.0037
"2018-06",2.99999999999988e-05,-0.0022614611390205,0,0.0469999999999999,-0.00414949521005631,-0.003618,-4.36414066652402e-05,0.226382469593005,0.00068666667,1.63276567243359,-0.0139951973585473,-0.000787,0.0033173502012338,0.00525700934579443,0.0367700072098056,0.00294961215044665,0.004,0.53158,7.69999999999999,0.0097170986987285,-3.30000000000001,0.0469,0.00010000000000001,0.000900000000000001,0.000400790513833987,0.0964227272727273,0.0147625659515054,-0.000351759834368529,5e-04,0.53158,0.00301839614216814,0.0016,-0.000899999999999999,-0.0011,0.0029
"2018-07",0.002484,0.001416949013508,0.0079850157728707,-0.00299999999999995,0.00059255569500121,-0.003636,0.00350460524060581,0.167327954952,-0.00190868831,1.3996816710838,0.00178850032345235,-0.000490000000000001,0.00371252401067002,0.0110400929692041,-0.00973574408901257,0.0044520269721342,0.003,-0.0565600000000002,19,-0.0115958668197474,-0.399999999999977,0.045,9.99999999999959e-05,0.000399999999999998,-9.09090909090998e-06,0.0994818181818182,0.00559003963686244,-0.000143398268398268,0.000400000000000001,-0.57285,0.001620399223633,0.0014,-0.001,-0.000699999999999999,0.0026
"2018-08",1.30000000000009e-05,0.00034724917871269,0.00244498777506119,0.00899999999999995,-0.000308934920968781,-0.003591,-0.0121993219597989,0.122338083895997,-0.00065317392,2.4897732440827,-0.0119653574413127,0.000252,-0.00233901430509342,-0.00229885057471269,-0.00491573033707882,0.00325142755463537,0.004,-0.44162,0.600000000000023,0.0173199143753215,-1.10000000000002,0.0449,-0.000499999999999994,-0.000199999999999999,-0.00057865612648221,0.0974826086956522,0.00877629581094119,0.000338636363636364,0,0.57765,0.00186666666666668,0.0029,-3e-04,-0.000800000000000002,0.0033
"2018-09",1.79999999999989e-05,-0.00204639381792829,0.00673170731707318,0.011,-0.000354336364113239,-0.003627,-0.00715681764788489,0.079399393867007,0.00012757143,1.47823175260019,0.00272961439391017,0.001032,-0.00419034817701758,-0.00691244239631328,-0.0155257586450246,0.00065301515640126,0,1.33347,-3.69999999999999,0.0159974227960216,1.20000000000002,0.0458,0.000999999999999994,0.000900000000000001,0.000955279503105588,0.0966476190476191,0.00745316947865393,0.000895,0.000699999999999999,2.70735,-1.77446544229465e-05,0.0032,-2e-04,0.000100000000000001,0.0039
"2018-10",0.002497,0.000312230686985545,-0.0062021513712569,-0.016,0.00468207864920254,-0.00366,0.009412796029173,0.0211933227779895,0.00014790909,1.53471428130591,-0.0204738900391074,0.000439,0.00627070582286149,-0.00870069605568446,0,0.00477759605546191,0.005,5.57671,0.5,0.019253461770018,0.800000000000011,0.0477,0.0012,0.0012,0.00143167701863355,0.101091304347826,-0.00439941572425639,0.00164630434782609,0.0012,8.66716,-0.00149057742130099,0.0016,6e-04,3e-04,0.0027
