"","AUTPROMANMISMEI","LCEAMM01ATM661N","AUTPRMNCG01IXOBSAM","AUTPRMNCG02IXOBSAM","PIEAMP02BEM657N","BELPPDMMINMEI","BELPRMNCG02IXOBSAM","BELPRMNVG01IXOBSAM","BSSPFT02BEM460S","DNKPRMNCG02IXOBSAM","DNKPRMNIG01IXOBSAM","DNKPRMNVG01IXOBSAM","DNKPROMANMISMEI","DNKPIEAMP02GPM","DNKPIEAMP01GPM","PIEAMP01DKM661N","BSCICP02IEM460S","BSSPFT02IEM460S","IRLPIEAFD02GPM","IRLPROMANMISMEI","PIEAFD01IEM661N","IRLPIEAMP01GPM","BSCICP02NLM460S","BSFGLV02PLM460S","POLPROMANMISMEI","BSPRFT02PLM460S","ESPPROMANMISMEI","BSSPFT02ESM460S","BSPRFT02ESM460S","BSPRTE02ESM460S","ESPPIEAMP02GPM","SWEPROMANMISMEI","BSSPFT02SEM460S","BSCICP03SEM665S","BSPRFT02SEM460S","LCLCMM01SEM661N","SWESLMNTO02IXOBM","BSCICP02CHM460S"
"1998-11",-0.0133155792627049,0.680755892307005,-0.00464037127024708,-0.0181124881947253,-0.00663035756571148,-0.00663035756571173,0.0289998592576648,-0.0506193425057969,-0.11,0.083936324167877,0.00219058050383381,-0.03305785123967,-0.00671892497200544,0.00105513933688746,-0.00325055259394106,-0.00325055259394214,0.072,0.115,-0.00395794971859017,-0.0202360876897125,-1.0289989680082,0.00698168572295866,-0.028,0.089,-0.0293547213637257,-0.03,0.0100652317836321,0.005,-0.001,-0.002,-0.00242599277978342,0.0021668472372689,0.00199999999999999,-0.00309231181503244,0.236,1.3752295020345,7.9002583548629,-0.179366666666667
"1998-12",-0.0229419702415388,1.34214686384969,-0.0046620045728738,-0.00873786406282007,-0.00679380214541125,-0.00679380214540981,0.0203659695880183,0.014460554897747,-0.151,0.0453938584779687,-0.0306010928961755,-0.0213675213675208,-0.0101465614430656,0.00401103780662489,-0.00208713801200105,-0.00208713801200067,0.08,-0.122,-0.0009811879240734,0.00688468158347533,-1.1002373581011,-0.00690954693014855,-0.025,0.123,0.0148454176080299,0.024,-0.00941992771537659,0.01,0.062,-0.022,-4.59989599392199e-05,-0.00864864864864856,0.003,-0.00469219852050906,0.196,1.0696229460268,3.4506875572964,-0.170033333333333
"1999-01",0.0262430938909537,3.3156129590942,-0.0117096019099515,0.0313418222232924,-0.00336013440537625,-0.00336013440537708,-0.0280558028449858,-0.0670758638976034,-0.15,0.0587484035759878,0.0744081172491589,0.0818777292576418,0.0911161731207284,0.00734994609396316,0.00209150326797387,0.00209150326797358,-0.002,0.00800000000000001,-2.90840871098097e-06,0.124786324786326,-1.8680288957689,-0.020672642346403,-0.027,0.154,0.00113687420812569,0.048,0.00473397462631153,0.00599999999999999,-0.031,0.018,0.00119564443811821,-0.0109051254089414,0.004,-0.00574604090067532,0.131,1.83363933604601,-2.6334194516209,-0.16
"1999-02",-0.0121130552783127,2.0974339200088,-0.00355450236763288,-0.0332383670496955,-0.00337146297411201,-0.00337146297411262,-0.0300449104096996,-0.0164998537480008,-0.148,0.0747889022919197,-0.0010493179433434,-0.0686175580222,-0.0187891440501049,-0.00318479005492553,-0.00104356900600053,-0.00104356900600033,0.189,0.002,0.00295239266822496,-0.0638297872340415,-0.965675954592399,0.00993776350130479,-0.02,0.065,0.000908930931577068,0.04,-0.000439697572746311,-0.034,-0.02,-0.046,0.00483924360301687,0.0220507166482904,0.013,-0.00402016382031578,0.108,2.0373770400511,3.4506875572964,-0.109433333333333
"1999-03",0.0245231607969107,1.3642713329141,0.0023781212385896,0.000982318315014163,0.00676573637791477,0.00676573637791633,-0.0719511861879603,0.0360338295051086,-0.134,0.0527497194163877,0.0136554621848806,0.056338028169014,0.0212765957446817,-0.00418315432447705,0,0,0.117,0.07,-0.00098704503392982,-0.0454545454545455,-0.77570691434471,0.00699761032562753,-0.028,0.011,0.0698874344551275,-0.123,-0.011509369937564,0.059,0.038,0.032,0.00121446953705587,0.0118662351672063,0.014,-0.000963646214034664,0.129,1.2224262240306,7.0829902491875,-0.150566666666667
"1999-04",0.00930851069535765,1.9090884903403,0.0071174377186507,0.00981354261505984,0.0112804512180487,0.0112804512180478,0.0648799132972788,0.0167920444575271,-0.121,-0.0639658848614072,-0.0735751295336817,-0.0451282051282057,-0.0604166666666663,-0.00082209793485747,0.00535387829720548,0.00535387829720646,0.105,0.136,0.00689945918699332,0.0289115646258482,0.126646026831807,0.0135266783831955,-0.023,0.064,-0.0137423864830764,0.091,0.0248880764786308,0.007,-0.032,0.015,0.00480879117799889,-0.0213219616204695,0.015,0.00188362485624793,0.146,1.0186885200256,0.272422701891799,-0.120966666666667
"1999-05",0.00527009214531349,1.93571395518511,0.0035335689027356,0.0184645289872691,0.00557731102408928,0.00557731102408954,-0.0585142769716532,-0.0457813421331613,-0.022,0.0353075170842807,0.0559284116331131,0.0118152524167563,0.0365853658536579,0.00407557986024914,0.00311728795947543,0.00311728795947452,0.154,-0.168,0.00095745900699459,0.00826446280991866,0.585737874096992,0.0116147005868931,-0.032,0.031,0.0361201337296611,-0.043,-0.0067627674421914,0.01,0.019,-0.012,0.00481139026042005,0.0108932461873641,0.023,0.0050475517734907,0.197,1.1205573720282,5.0852237686475,-0.117166666666667
"1999-06",0.0144167758606744,1.2341062972914,0.0117370892393882,-0.0152671758521802,0.00224215246636773,0.00224215246636716,0.00777728650427645,0.0860076152009686,-0.035,-0.017601760176016,-0.0116525423728846,0.00212314225053034,-0.00534759358288739,0.0083610191296975,0.00530881781691047,0.00530881781691139,0.166,0.128,-0.00099744706697413,0.0213114754098351,0.775706914344696,0.0047054820460002,-0.017,0.064,-0.0365161029582795,-0.026,0.000837407719594729,0.032,0.002,-0.023,0.0036099060863689,0.00862068965517238,0.025,0.00591982714591688,0.249,0.662147538016605,5.4484540378365,-0.120466666666667
"1999-07",-0.015503875886993,1.80392265980201,0.0336426913532877,0.0125968989789218,0.0110679383021313,0.0110679383021319,0.026589385339711,-0.0616527926775936,-0.037,-0.0403135498320267,0.0139335476956022,-0.063559322033898,-0.0150537634408612,0.00629816390530958,0.00528078310149402,0.0052807831014936,0.189,0.023,-0.000979365457902642,0.0690208667736771,1.2902063983489,0.00676893478421839,-0.009,0.067,0.0295870622603676,0.00600000000000001,0.00955097890574219,-0.008,-0.028,0.059,0.0071810789003803,-0.00106837606837618,0.026,0.00502383159568409,0.286,1.2224262240307,-1.3621135094591,-0.0979
"1999-08",0.0262467192297771,0.996908138432794,-0.0213243546887528,0.003827751567822,0.00652148596715972,0.00652148596715985,0.000681461928541793,0.134013312560275,0.036,0.00233372228704432,-0.0697674418604625,-0.0147058823529407,-0.0185589519650646,0.00516741552387858,0.00204996796925034,0.00204996796925005,0.219,0.031,0.00291075258509016,-0.034534534534536,1.2268833849329,-0.00192861970107876,-0.017,0.004,0.0119976729051625,0.00599999999999998,0.00258191832829469,-0.000999999999999999,0.00899999999999999,-0.051,0.00835114730582549,-0.0192513368983959,0.03,0.00351017398262554,0.276,0.764016390019101,1.63453621135091,-0.0980333333333333
