"","ARGXTEXVA01GPSAM","IMP3570","XTEITT01BRM156S","EXP3510","BRAXTEXVA01NCMLM","XTEXVA01BRM657S","XTIMVA01BRM657S","IMP3510","BRAXTIMVA01NCMLM","XTEITT01CNM156S","XTEITT01INM156S","EXP5330","XTEXVA01INM657S","IMP5330","XTIMVA01INM657S","MEXXTIMVA01NCMLM","IMPMX","RUSLOCOBXNOSTSAM","XTEXVA01RUM657S","RUSXTEXVA01NCMLM","TURLOCOTXORSTM","TURXTIMVA01CXMLM","TURLOCOMGORCXMLSAM"
"1997-06",-0.0634661891378642,-26.9,-0.035316019101147,219.1,1357846763.0579,0.0585937347656414,0.101847873541481,67.3,603399173.479199,1.30494614070018,0.867787873229036,53.8,-0.046021916570869,74.9,0.008326879386503,20643091777.8098,942.2,-0.00118896002803603,0.010927180239305,2851720000,0.187,450714007,-0.00275968567458096
"1997-07",0.0850945887925568,-10.1,0.010972772208965,282,1167996457.7068,0.00429551113162252,-0.00829448792458257,217.3,-6293211.47699976,1.24517305818592,0.869519114082512,1.90000000000003,0.00708611106019919,-50.1,0.00508096983880636,16117153434.8012,982.4,-0.00123695821080505,0.0613365246740471,1601811000,0.252,220404174,0.0106113716076932
"1997-08",-0.0113813623679234,-19.9,0.00336985691690184,133.4,1077962665.7557,0.00986145274913452,0.00598841035157868,-22.3,-297825722.7729,1.30751580536884,0.907044226548034,116.6,-0.0440124048382575,-31,-0.0835623418469669,14111443478.5282,807.5,-0.00127843664332672,-0.0237834937829611,-2067677000,0.253,637367924,0.020614990023204
"1997-09",0.0421700538505517,-49.1,-0.0546117302485059,237,819085578.9637,-0.0862670034592937,-0.0257116652753098,30.2,-16602368.4303999,1.37275896777866,0.959449670015356,22.3,0.0378165099688545,95,-0.0188693550038807,19683812731.3606,1209.5,-0.00128885409765822,-0.0159207243649452,-848886000,0.27,1037842534,0.0487261922332425
"1997-10",0.0824160240556592,-22.8,0.0664860606107029,330.5,972326248.5731,0.0489748732573418,-0.029340112470331,80.5,-518495558.3196,1.37811830080356,0.861197762367876,-107.3,0.0066759220510993,6.10000000000002,0.121525070581581,12596622852.413,1342.4,-0.00124914701677836,0.0550165107471397,-3514743000,0.229,769515638,-0.0133145788730288
"1997-11",-0.124424403718346,14.9,-0.096015388331922,240.9,368681429.94,-0.0487282058666051,0.0662302818477541,-25,352801041.0095,1.33842062112719,0.838667766861805,-103.5,-0.0605810667286264,-119.3,-0.0353444889308186,17071866431.8,915.2,-0.00116182811504917,0.0440813732282743,4425133000,0.137,409585456,-0.000131452997694126
"1997-12",-0.019686092927834,-2.80000000000001,0.0875534253439951,318.9,1112416593.8341,0.0262759291699471,-0.0755909306636235,-25.1999999999999,-875079725.9554,1.20110299279606,0.802251512687441,28.6,0.0124259574164281,102.3,0.0583825687969352,23136662639.5,857.5,-0.00103489882646202,-0.0578395817370244,301445000,0.155,360117441,-0.0126141797397609
"1998-01",-0.0144114791224854,46.7,0.0158465190964779,110.5,537431200.448801,0.0474969215413961,0.0290106477332563,-70.6,2448217091.6492,1.51231541302444,0.806153848558657,-9.20000000000002,0.018503882715894,-43.1,0.0135736274754072,15831128687.026,818.400000000001,-0.000879020215926452,-0.0497757942672901,-6952400800,0.067,-507980109,-0.02794805222143
"1998-02",0.0866568805775631,-54.7,0.071069054460988,29.1000000000001,886195121.6945,-0.0089983263580405,-0.0816819243770898,-5,-2577624944.9742,1.2256535724903,0.755393877217763,-76.8,0.0204459167033912,4.5,0.0890165088791918,20735688105.9158,426.099999999999,-0.000703326989858755,-0.0671873998422362,1060824400,0.118,774932244,0.0151553432108178
"1998-03",-0.00478503790578715,4.09999999999999,-0.138439243343825,-29,800831986.2594,-0.0313154529585767,0.130148778340243,29.5,887029881.2622,1.32236531869569,0.770460926099311,-72.3,-0.0723389544715065,35.3000000000001,-0.0904801915479261,30502337137.4626,1368.1,-0.000506286905179065,0.0138046322580797,1733997400,0.127,532252846,-0.00246091722189634
"1998-04",0.0257083930832613,45.1,0.108552828943393,9.20000000000005,313781807.6135,0.0388140014396868,-0.081264775119365,23.2,-1447875894.0891,1.36978850287545,0.757623640863752,-31.4,0.00569710829948877,-29.2,0.0227377864719633,13472700200.7715,715.8,-0.000296520519697419,-0.0493038628845787,-1075074200,0.151,130181820,-0.0320324777284783
"1998-05",-0.0507105704802713,-1.90000000000001,-0.0627156541913401,-30.1999999999998,317965558.7349,-0.0322665802591179,0.036986034966251,-13.2,971826587.296799,1.29284232242121,0.70781652809483,-53.6,-0.0536323903528749,-10.9000000000001,0.0129609094411001,18887199450.0805,830.700000000001,-7.83985300027989e-05,0.0269141746482788,670857200,0.126,-144314660,-0.0393710166917002
"1998-06",0.0808092655536162,5.70000000000002,0.097879455590921,-52.1000000000001,432971962.055201,0.0245413531285601,-0.0783890457496792,131.6,-558559904.981199,1.33067693907487,0.807419564639569,28,-0.0147913211642088,10.2,-0.136326369780576,24572693334.3816,874.5,0.000145500699791024,-0.00555062368663246,1207911300,0.092,294825720,0.00824752235088289
