"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"2002-04",-0.0888720411085839,0.190251697627306,0.185,0.185,-1689469707.3356,0.000999999999999987,0,0,0,12289446191.899,0.00443713410870883,0
"2002-05",-0.0689718934911242,0.165109714885775,0.185,0.185,-2625105881.3692,0,0,0,0,12741964608.4766,-0.073800640731249,-0.0499999999999999
"2002-06",-0.034558093346574,0.0890495892764247,0.185,0.185,4632404117.5054,-0.000999999999999987,0,0,0,14097819233.463,-0.0835696761515311,0
"2002-07",0.0497839950627443,-0.00848702645808275,0.18,0.18,3475986103.9174,0.000999999999999987,0,0,0,15785383576.6328,-0.0670232270394323,0
"2002-08",0.0517342739564961,0.000999935578380073,0.18,0.18,1309248758.2925,-0.000999999999999987,0,0,0,15760657552.6979,0.037327019665198,0
"2002-09",0.0218930501211105,0.00865745145223573,0.18,0.18,-1692461648.6609,0.000999999999999987,0,0,0,17736923241.9396,-0.0176368260845394,0
"2002-10",0.0346430850578905,0.000346765647452951,0.21,0.21,-1666496874.0953,0,0,0,0,18937677367.1609,-0.0072516337927927,0
"2002-11",0.00334831262666313,-0.0325597131439632,0.22,0.22,-1685695310.89491,-0.00474999999999999,-0.0025,-0.0025,-0.0025,19626875162.8494,0.0828300982039472,0
"2002-12",0.00193202775094403,-0.0152153598312206,0.25,0.25,1898950041.9353,0,0,0,0,21795011408.1561,-0.0636716333099925,0
"2003-01",0.0533789113857481,-0.0652423228059963,0.255,0.255,2522745941.5299,0,0,0,0,23394656586.7331,0.00257704605257625,0
"2003-02",0.0433516392078548,-0.0303173733246973,0.265,0.265,2570553268.255,0,0,0,0,21489282899.2602,0.0295552024918202,0
"2003-03",0.015471728207991,-0.0297045600513808,0.265,0.265,5578257752.9138,0,0,0,0,20895094292.7313,-0.065581956761432,0
"2003-04",0.0237178983743029,-0.0595730597385405,0.265,0.265,8467292243.8692,0,0,0,0,22194735196.8073,0.0847295262173651,0
"2003-05",-0.0159570387418487,-0.0186591588949498,0.265,0.265,10452441656.6957,-0.00125,-0.0025,-0.0025,-0.0025,25104526867.6585,0.09243646058091,0
"2003-06",0.000857566071567728,-0.0103568969474409,0.26,0.26,5931670884.4446,0,0,0,0,24156549415.6744,0.0191921998069502,-0.05
"2003-07",0.0147998130549931,-0.00219234671691537,0.245,0.245,8534572384.314,0,0,0,0,24560502042.8491,-0.00295324795447205,0
"2003-08",-0.027018728891618,0.0448693504748414,0.22,0.22,10084203389.2451,0,0,0,0,24651495663.2079,0.0136607912192757,0
"2003-09",-0.0187756390028401,-0.00225921935282059,0.2,0.2,14226329293.9275,0,0,0,0,28103944568.582,0.00607652931992897,0
"2003-10",0.00635150345714752,-0.0221939664181704,0.19,0.19,18163032237.2481,0,0,0,0,28005142660.6688,-0.06392070031417,-0.07
"2003-11",0.00183750099864177,0.0104635379370048,0.175,0.175,18750999304.0319,0,0,0,0,29098599927.6962,0.0162346375723255,0
"2003-12",-0.0400318979266349,0.0318905883099576,0.165,0.165,11384606017.0756,-0.0025,0,0,0,31272428290.2881,0.0445043740754574,0
"2004-01",-0.0023259677687324,-0.0179108965357005,0.165,0.165,14449955437.2803,-0.00125,0,0,0,31528882150.3531,0.0420917972385988,0
"2004-02",-0.00249791840133218,0.0133285089535156,0.165,0.165,14381336596.4635,0,0,0,0,35562016838.2337,0.0118781299712423,0
"2004-03",0.0136060100166946,-0.012596992377944,0.1625,0.1625,9180493966.4796,0,0,0,0,36197959655.6156,0.0084625262253033,0
"2004-04",0.035081940212468,-0.0213636727157666,0.16,0.16,8942037138.6504,0,0,0,0,39367502388.3588,-0.0755523443444391,0
"2004-05",0.00286418967300506,0.0306913912743785,0.16,0.16,7132416007.753,0,0,0,0,36772192058.2671,-0.0500783958438512,0
"2004-06",-0.0145180483934947,0.0134615716083217,0.16,0.16,1796813239.65961,0,0,0,0,35934056694.4106,0.0041087751217701,-0.05
"2004-07",-0.0093382708098535,0.00681995986258022,0.16,0.16,1980656658.9001,0,0,0,0,32341541772.5321,0.0159011745480264,0
"2004-08",-0.0187713310580205,0.011326607029237,0.16,0.16,1767480027.4865,0,0,0,0,30430917741.202,-0.0262747186772777,0
"2004-09",-0.00662525879917186,-0.00638473563723585,0.1625,0.1625,-3212183808.5748,0.00375,0,0,0,26964154644.5767,0.00318729346551505,0
"2004-10",-0.00191746561067119,-0.00859465737514642,0.1675,0.1675,-4719353279.0795,-0.005,0,0,0,27099818633.2622,0.0184990411875425,0
"2004-11",-0.0157033077180087,-0.00509698860553442,0.1725,0.1725,-4350910226.62749,0,0,0,0,30312916628.7721,0.0309531204965268,0
