"","BRAPROMANMISMEI","BSPRFT02BRM460S","BSCICP02BRM460S","BSCURT02BRM160S","INDPRMNTO01IXOBM","INDPRMNCG02IXOBSAM","CCRETT01INM661N","WPIAMP01INM661N","INDWPIAMP01GPM","BSCURT02MXM160S","MEXPROMANMISMEI","BSCICP02RUM460S","RUSPPDMMINMEI","TURPROMANMISMEI"
"2001-02",0.0133149225761906,0.378,0.063,0.00599999999999989,1.3936729866478,0.0885315859739133,0.00626327704512297,2.2972787172289,-0.0027901296683389,0.72918749709,-0.0145082479399928,-0.0522798129633333,0.0129999966401986,0.0150375939849625
"2001-03",-0.0148919602881062,0.288,0.025,-0.00700000000000001,1.0509665145212,-0.0265113330170431,0.0108840182962489,2.20221890824,-0.00192120845478397,0.72733337068,-0.0132649763705169,-0.12703884815,0.00500000354078689,-0.0592592592592592
"2001-04",-0.00355696077462619,0.304,0.016,0.00300000000000011,0.982425220095898,0.0234419682271101,0.00887031853233888,2.0655704328186,-0.00249335154301846,0.72111572903,-0.00747752774277732,-0.114755076683333,0.00599999605761581,-0.0157480314960631
"2001-05",0.0129895884977691,0.214,-0.008,-0.0180000000000001,0.662565846111299,0.0375581599873114,0.00141143218931505,2.0695312581932,9.1485671907499e-05,0.72061787701,0.010247961360093,-0.153629352106667,0.00800000205696372,0.0026666666666666
"2001-06",-0.0189898198903684,0.138,-0.053,-0.00199999999999989,1.2565903977972,0.0116148729279704,0.0117272767852934,1.8992157670883,-0.00307542204602134,0.71176027593,-0.0101149021104561,-0.122315256116667,0.00599999663998285,0
"2001-07",-0.00449012173218866,0.008,-0.105,-0.012,1.0509665145212,0.0516723934569878,0.00363254750708952,1.8932745290266,-0.00031818070398781,0.70437995284,-0.00319668807222773,-0.128350426813333,-0.00299999905571624,0.0186170212765957
"2001-08",0.00240553272526767,-0.036,-0.138,-0.00100000000000011,1.2108962015136,-0.00782732059871449,-0.0101003648959215,1.5447218960677,-0.0062097025383153,0.70109014784,-0.00616860654841667,-0.11665186823,0,0.0391644908616189
"2001-09",-0.0201979802019804,-0.017,-0.159,-0.00800000000000001,0.525483257260603,0.0115769535016761,-0.0140520851000656,1.0773445018728,-0.00832913087201824,0.68666372957,0.00885933403264527,-0.100958376476667,0.00100000070157691,-0.00502512562814061
"2001-10",-0.0230635779161139,0.034,-0.17,-0.00399999999999989,1.2794374959389,0.00965208849931787,0.00544783331361587,0.910989836142498,-0.00298649133230283,0.6985432195,-0.0241882543206794,-0.07492619914,0.00600000268085021,-0.0681818181818182
"2001-11",0.00584978585605378,0.263,-0.084,0.001,0.868189729387097,-0.0938589989972471,0.0134819647897118,0.653536186797801,-0.00456143337001715,0.69949370952,0.000194405494500449,-0.110171481506667,0.00299999633364223,0.0162601626016261
