"","LRHUTTTTMXM156S","MEXLOCOEMORSTM","LMUNRLTTRUM647S"
"2020-08",-0.0019737707909307,0.00411388300532358,2926246.29505568
"2020-09",-0.0017051616062511,0.00312554054676074,3014088.15530391
"2020-10",-0.0017755961399658,0.00529275675838509,2818240.68492356
"2020-11",-0.0010735339674393,0.00246479092416298,2466296.97340136
"2020-12",-0.0030889321741784,0.00624637775426681,2078082.16911575
"2021-01",0.002978405873135,0.00378571163707057,1831373.80880624
"2021-02",-0.000920234446567199,0.000426342468861873,1492036.36996087
"2021-03",-0.000671465266113801,0.00351400223293461,1023425.25960477
"2021-04",0.0057346062789055,0.00322108351315506,235137.41611299
"2021-05",-0.0076007837006713,0.00244012039129004,-791759.82441755
"2021-06",-0.0010886229229945,0.00357266443466807,-1600256.0809155
"2021-07",0.0016942985791277,0.00323095048566496,-2235666.51447683
"2021-08",-0.001711709333615,0.0013007304587079,-2661521.10332525
"2021-09",-0.0015245970327469,0.00296476138157682,-2809124.26200157
"2021-10",-0.000533670722018105,-0.000866063601036624,-2644861.02591205
"2021-11",-0.000701368493543693,0.000751537825778798,-2338399.29255842
"2021-12",0.0010941896226295,-0.000549232950794251,-1998994.7508777
"2022-01",-0.0034395499497531,0.00280901917266358,-1824750.46986061
