"","LMUNRRTTATM156S","LRHUTTFEATM156S","LMUNRLTTBEM647S","LFHUTTTTBEM647S","LMUNRLTTIEM647S","LMUNRRTTNOM156S","LMUNRLTTESM647S","LFHUTTTTESM647S","LMUNRLTTCHM647S"
"2001-07",0.000961936330072299,0.000999999999999994,0.00291000034800892,-0.0431654676258992,0.00286687222440485,0.0260648804505233,0.00765448573635608,0.00425305688463573,0.0249708143184195
"2001-08",0.000708219541308397,0,0.00611580014458801,0.018796992481203,0.00789044628759705,0.0260064459479819,0.014382476562623,0.011646373742721,0.00181941896929172
"2001-09",0.00120872331588111,0,0.00964803677907056,0.0627306273062731,0.00917261745623899,0.0267737000353798,-0.0042524586881042,-0.00784929356357933,0.0208188757807077
"2001-10",0.0012743391448941,0,-0.0151559448352405,0.09375,0.0150632260860664,0.0264883092595044,0.00709818687340658,0.004746835443038,0.0442744116753693
"2001-11",0.0013087794318537,0,-0.0351305754069059,0.0158730158730158,0.00639805429551887,0.0288083715660124,0.00422264739946732,0.0141732283464566,0.0574531150447382
"2001-12",0.00138691945126759,0,0.0382580130634701,0.015625,-0.0379401358818223,0.0287960863444272,0.00278921265382981,0.0222567287784678,0.0350902470332435
"2002-01",0.0001396085788017,0.00100000000000001,-0.00196318552738872,-0.00923076923076926,0.0182037684221934,0.02885684892912,0.013269583751552,0.04,0.038823157228725
"2002-02",0.000216430436325799,0,0.00525196414177054,-0.00310559006211175,0.00217782171386105,0.0286597855484272,0.0328000084824027,0.0467380720545278,0.0313059578770418
"2002-03",0.000851024707439599,-0.002,0.00331844804648807,0,-0.0148172564906113,0.0296708063700852,-0.017745312874875,-0.0209302325581395,0.0341471481048392
"2002-04",0.0014267872370053,-0.002,-0.0127025756921553,-0.0124610591900312,-0.0074863797810083,0.0305038524043151,0.0111101543282017,0.00380047505938252,0.0411860109189757
"2002-05",-0.000367987806130898,-0.001,0.00894294912257743,0.00315457413249209,0.00186065759131382,0.0315714731164713,-0.0017135930656329,0.00094652153336483,0.0360026327336551
"2002-06",-4.44544989559037e-05,0,-0.00190612838501303,0.00314465408805042,0.00123761995689087,0.0317261824383403,-0.00333901373025636,0.0179669030732861,0.0366362423498019
"2002-07",0.00045756089842991,0.003,0.00496426184247056,0.0282131661442007,0.00370215496972559,0.0316658387008646,0.00980742842557847,0.0301904319554112,0.0277318134460991
"2002-08",0.000681109997087898,0.000999999999999994,-0.0142279961543758,0,-0.00126646480169357,0.0324955507332448,0.00115365521032484,0.0103697024346259,0.0245882902491628
