"","RBBEBIS","CCRETT01BEM661N","RNBEBIS","CCUSSP01BEM650N","CPGRLE01BEM657N","IR3TIB01BEM156N","IRSTCI01BEM156N","IRLTCT01BEM156N","IRLTLT01BEM156N","NBIEBIS","CCRETT01IEM661N","CPGRLE01IEM657N","CSINFT02NLM460S","NLDCPHPLA01IXOBM","IRLTLT01NLM156N","RBESBIS","CCUSMA02ESM661N","RNESBIS","CPGRLE01ESM657N","CPGRLE01CHM657N","IRSTCI01CHM156N"
"2013-09",-0.00108954041204434,1.50500801166099,1.64,0.0204004533434077,0,-2.69999999999997e-05,0.000803,0.0016,0.001,-0.00149461937026707,2.34863980592799,0.00266697879514483,-0.233,-0.210000000000008,0.00126,1.15000000000001,-0.00259533181491334,0.719999999999999,-0.00937224004040923,-0.0005083343125413,0.0015
"2013-10",0.0036688150718891,1.751684896832,1.78,0.0100703443169197,-0.00012192639103685,2.6e-05,0.000933,-0.000699999999999999,-0.0018,0.00758407344576395,2.64960305341501,0.00212503696568771,-0.419,-0.829999999999984,-0.00145,1.09,-0.0215060607514522,0.609999999999999,-0.00616282859944592,0.00024423529625459,-0.001
"2013-11",-9.87947046038329e-05,2.009283378169,1.89,-0.00219925225423367,0.000988442112183731,-2.40000000000001e-05,0.001031,-0.0017,-0.0015,-0.00326829751411306,2.667144480581,0.00153218826486217,-0.298,-0.120000000000005,-0.00121,1.56,0.0113967356333959,0.890000000000001,0.00219215868659457,0.00150698088731651,7e-04
"2013-12",0.00642229028752106,2.13974233165901,1.84,0.0132245977518184,-0.00011559195318814,0.000501,0.001686,-0.000300000000000002,0.000100000000000003,0.00834658187599358,1.969655094545,-0.00200380045825294,-0.085,0.189999999999998,0.001,1.53999999999999,-0.0157106649448582,0.709999999999994,-0.001161473361214,-0.00123569468165534,9e-04
"2014-01",0.00274887099941101,1.857649742851,1.26000000000001,-0.0199405409324923,0.00450434085945283,0.000185,0.001961,0.000100000000000003,0.000199999999999999,-0.00197083169097367,0.150091849561008,0.0005000578425407,-0.033,-0.829999999999998,-0.000580000000000004,1,0.00599031384967641,0.0900000000000034,0.000454497924022501,-0.00019787223801806,-0.0013
"2014-02",-0.000489524182494594,1.696338546447,0.730000000000004,0.0219739567919504,-0.00216113963434214,-3.89999999999995e-05,0.001567,-0.002,-5e-04,0.000987361769352324,-1.738350701429,-0.00226077600499073,-0.067,-0.25,-0.00207,0.640000000000001,-0.00318421314481565,-0.460000000000008,0.000406551159503022,-0.00044633280341426,-3e-04
"2014-03",0.00176315016162198,2.776059707215,1.55,-0.00180988923477876,-0.00062541794269034,0.000172,0.001919,-0.000800000000000002,-0.0014,0.00700335371868221,0.130482138102991,0.0033998923359528,-0.075,-0.120000000000005,-0.000809999999999998,1.72,-0.0117270720922805,0.0900000000000034,-0.00078242440945128,0.00114796831835169,0
"2014-04",-0.00713796812359435,1.875194694966,0.730000000000004,0.00449666376559321,0.0028948043251695,0.000244,0.002539,-0.000299999999999998,-0.000999999999999997,-0.00215496130864923,-0.208368699185996,0.00183395659589528,-0.042,0.420000000000016,0.000359999999999999,1.84,0.0012781720750521,0.189999999999998,0.00345629277667396,-0.00023210700503221,0
"2014-05",-0.00541658459720318,1.25285048966199,0.25,-0.0175451263537906,-0.00224325220449558,-5.09999999999998e-05,0.00248,-0.0017,-0.0017,-0.00500638068126047,-0.792537298241001,-0.00331835849721252,0.089,-0.640000000000015,-0.00137,1.34999999999999,0.00555054752177764,-0.0999999999999943,-0.0020922932414295,0.00021185933620453,-1e-04
"2014-06",-0.00435686701653626,-0.0439563540149948,-0.540000000000006,0.00374807084588813,-0.00111390720382888,-0.000832,0.000758,-0.0013,-0.0016,-0.00661010260457773,-2.49007699280101,0.00146049506211079,-0.026,0.160000000000011,-0.00111,0.0300000000000011,0.0102554214655426,-0.760000000000005,0.000702311321446333,-0.00168314115969252,1e-04
"2014-07",-0.00119343610144196,-0.0817790904619926,-0.540000000000006,-0.0204275882266802,0.00015749187872816,-0.000364,0.000433,-0.0021,-0.0022,-0.00417121859171721,-3.66290171720401,-0.000349819294495169,-0.03,0.0199999999999818,-0.00191,-0.530000000000001,0.0044614313486131,-1.24000000000001,-0.000169181631764401,0.00164960101256887,0
"2014-08",-0.00826446280991744,-1.234604346843,-1.34,-0.0142761043426266,-0.0019761721681434,-0.000134,0.000179,-0.0021,-0.0021,-0.00548518998703496,-3.871776014728,0.00171908466501538,-0.00800000000000001,0.300000000000011,-0.00207,-1.55,0.0163266290880573,-1.70999999999999,0.00051014039566193,-0.000226890849577049,5e-04
"2014-09",-0.00913654618473891,-1.90493164294,-1.83,-0.0458750379132544,0.000393159032828954,-0.000945,6.6e-05,-5e-04,-0.000999999999999997,-0.0123345367027677,-4.05122786040199,-0.00105034137587303,-0.046,-0.289999999999992,-0.00046,-1.84,0.0323197483813789,-1.50999999999999,-0.000498361207072746,-0.00053985377587417,0
"2014-10",-0.00162123822069105,-2.32009332915401,-2.31,-0.00468886593022333,-0.00031620175234883,-0.000145,-4.5e-05,-0.0011,-0.0012,-0.00578738958269864,-5.160403036408,-0.000394634945122726,0.083,0.0899999999999892,-0.00122,-2.5,0.017872793115931,-1.94999999999999,-0.000220225458797479,0.00100452397556622,0
"2014-11",0.000304475794174364,-2.193050692694,-2.18000000000001,-0.003273714468221,-0.00217993096821797,-1.7e-05,-0.000116,-0.001,-0.0011,-0.00194035947712412,-4.369132109836,-3.54446665299289e-05,0.062,-0.189999999999998,-0.00098,-2.71000000000001,0.0156184531425461,-1.93000000000001,0.00012821796769208,0.000325894398700701,0
"2014-12",0.00294237012987009,-2.420613251934,-2.55000000000001,-0.0273972602739726,0.00047920510433266,0,-0.000301,-0.0018,-0.0016,0.000306968177632205,-4.979626986217,-0.000431445303207009,0.011,0.159999999999997,-0.00157,-3.47,0.0135120031702316,-2.54000000000001,0.000920847191778145,0.00126753705651245,-0.019
"2015-01",-0.0142640364188164,-3.849850751581,-3.73,-0.0688575899843504,7.352436063013e-05,-0.000182,-0.000506,-0.0025,-0.0018,-0.0291530278232407,-6.96098912038001,0.00216465895753425,-0.12,-0.280000000000001,-0.00257,-4.98,0.0587378357053809,-3.42,0.0018544331466877,0.00068373116770187,0.0025
"2015-02",-0.0103653530377668,-4.757550702559,-4.33,-0.00574966828836798,0.00183342120288651,-0.000145,-0.00036,-0.0014,-0.001,-0.0144347276367084,-8.910533040815,0.00143771923394595,-0.037,-0.0100000000000051,-0.00104,-5.77000000000001,0.0240262905000888,-3.88,-0.000876232194676033,-0.0024535110546737,0.0075
"2015-03",-0.0195997096339313,-6.7243342026358,-5.81,-0.0427935943060499,-0.00362488344134565,-0.00021,-0.000504,-0.0013,-0.0014,-0.0217019456916827,-11.7278463717709,-0.00492334781817469,0.034,-0.00999999999999091,-0.000899999999999999,-7.13000000000001,0.0498655147589937,-4.53999999999999,0.00017222505992228,-0.00130480960115485,-0.005
