"","BELLOCOBXNOSTSAM","BELXTIMVA01CXMLM","DNKLOCOXGNOSTSAM","IRLLOCOTXORSTSAM","XTIMVA01IEM657S","EXP4210","NLDXTIMVA01CXMLM","XTEXVA01NOM657S","EXP4550","IMP4550","EXP4700","ESPXTEXVA01CXMLM","XTIMVA01ESM657S","XTEXVA01CHM657S","CHEXTEXVA01CXMLM"
"2008-09",-0.00736941757283882,6481244674.16779,-0.00509434727392688,-0.0291005951387621,-0.059704105296368,273.815257,9612263192.2173,-0.163572382941676,-47.275343,49.246026,13.195666,3221982189.4981,-0.0844945406760408,-0.054829566204343,2250885564.4766
"2008-10",-0.00766480600146302,-2783337355.78821,-0.00638182417784339,-0.0321114664213694,-0.0605487651484309,646.83844,-194990912.584198,-0.117090932176041,230.375448,-16.862474,-62.064156,-2232768329.7657,-0.105293346265405,-0.0645960547661029,63724044.4976006
"2008-11",-0.00700557198761254,-9391594553.2968,-0.00657784155587426,0.0194773619385762,-0.104091554414777,651.268673,-9124175096.06091,-0.059482619436295,-526.108787,7.14000000000001,83.764864,-5974846282.9717,-0.154751342012576,-0.0760426178086312,-2498912105.2346
"2008-12",-0.00457406084785428,-5337079005.509,-0.00561106434609515,-0.0530837990070683,-0.0383435741989292,70.2593469999997,-4898983277.879,-0.125276233057221,384.82114,4.81375800000001,-153.268322,-3109539228.1161,-0.0119130141433396,-0.0364366116448008,-376328225.080198
"2009-01",-0.000983019309832245,-12134173870.71,-0.00422203575011992,-0.0718276880083475,-0.0325906326964564,-804.617421,-14949650598.5183,-0.0243574712790795,-114.883042,-42.148015,-209.104467,-8317374932.3553,-0.0919988172988436,0.0413334039045467,-1920882490.5578
"2009-02",0.00235560324618156,-10858199486.0106,-0.00288927955097262,0.000700934406922205,0.0121940908117754,-758.108133,-15794491085.1881,0.0241003950046358,-454.503572,-31.770846,-9.4982369999999,-8748574361.0925,0.00302219722059904,-0.0542909334026218,-3549625919.5084
"2009-03",0.00506599514406458,-12172893686.345,-0.00132290019048953,-0.041167009522327,0.0358123446389472,-600.130571,-15041783418.6924,-0.0367933694991405,418.757181,-57.170239,74.828828,-5995221323.5065,-0.0607360171634706,-0.0310997428642935,-3114174824.4549
"2009-04",0.00641236308591897,-18078973841.3677,-1.73513575313367e-05,-0.0291799523754965,-0.114498184832567,-201.174066,-19689946442.4175,-0.0865307645605448,-131.159222,-28.847276,-299.839731,-10916036746.5186,0.0417583394268849,0.106805620182753,-5021776516.4383
"2009-05",0.00706052718074646,-13756558170.9168,0.00114368720848046,-0.00184658661527637,0.136524782668999,-370.778422,-17886026821.9094,0.0326587413693064,46.3359369999999,-54.920759,198.948551,-8376968918.5682,0.0159206631010026,-0.041889916522594,-3976211893.5975
"2009-06",0.00649314925888245,-13990561359.4717,0.00186046161833686,-0.00258686416086573,-0.0205240582235809,-752.07323,-16607007397.9437,0.0371392973114058,-149.530135,-89.958426,-38.9487330000001,-4530543593.6266,0.0387150395231041,-0.00368466863890154,-4363965991.6263
