"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1991-03",-2.12597200622084,0.0157145030211034,0.182071312786348,0.0107415236984574,-0.0233873839689765,802077444927.61,-168.3
"1991-04",-0.332872928176795,-0.0288679282024763,-0.0465352452536154,0.0380182148965062,-0.00302634753961699,1253510512910.44,-211.8
"1991-05",-0.702898550724638,0.00820897565544687,0.0504820716674472,0.020027096996337,-0.00113279868920249,962554633212.39,-125.7
"1991-06",-3.58885017421604,0.0474967026810216,0.100730925831206,0.0378998435005954,-0.00744921491287152,859115469666.46,-229.3
"1991-07",-0.989232839838493,-0.0675006808366406,-0.0826412712698263,-0.110703066491313,0.0252214846535927,1317230681613.41,-94.3999999999999
"1991-08",-188.875000000011,0.08155821339156,0.0295761803877772,0.0756416170610657,-0.0305663128902102,750219294333.79,-228.3
"1991-09",-1.69394544244844,-0.0820703366861103,-0.185023366421096,-0.0676200333329747,0.0207700589040676,380210410488.7,-78.0999999999999
"1991-10",1.54074784276127,0.176726557918866,0.401758743576264,0.126830157862012,0.00357334306271318,904948896540.97,-161.5
"1991-11",-0.167169811320755,-0.026335537750283,-0.0931269789915676,0.0117634480213243,0.0478539133385419,170680162321.029,-33.8
"1991-12",-2.17127322156774,0.0870229981011224,-0.0380670702667283,0.0372454332176878,-0.0803031304764329,537797612263.149,89.3
"1992-01",-1.02088974854932,-0.138605848178757,0.0288257214349208,-0.0244036063908481,0.126026716740395,1253891776169.35,-140.3
"1992-02",-18.6296296296297,0.0554495187616555,-0.0431133727900536,-0.0727150110624837,-0.0666384491341819,31639009076.0498,5.40000000000009
"1992-03",-1.60504201680672,-0.019427079411995,0.0806833648397569,0.0577768699267935,0.00881062679095478,580154632360.97,84.3999999999999
"1992-04",-0.557291666666667,0.159913193810319,0.00778268646112368,0.013209990106284,-0.0412474150422942,306891348882.649,0.100000000000136
"1992-05",7.62352941176471,-0.107099734176228,-0.063423442535709,-0.0146594541470721,0.0353159561900749,254296617049.25,-87.4000000000001
"1992-06",-0.609822646657572,0.0275406098661437,0.062283943125893,0.0349079244473151,0.00873793576664864,948461852081.17,58.3999999999999
"1992-07",-1.91724941724942,0.0460246980252579,0.0413778411494448,-0.0177891189826433,-0.0184273197292891,439672540735.291,21
"1992-08",0.0508259212198237,0.101122122202688,0.0469814815403489,0.0123520569664647,-0.0575700182355946,14007056175.9502,-6.70000000000005
"1992-09",-2.34582829504232,-0.0570880932603595,-0.0122743125694325,0.000450269196264082,-0.0161223575287335,50449593870.21,-18.5
"1992-10",-1.4240790655885,-0.173762411701416,-0.105814404300023,0.0439620415215948,0.0875648325318812,365831602610.41,-20
"1992-11",-0.233050847457629,0.144169565456249,0.069804891562524,-0.0658406617980354,-0.0766748051159792,-524197783721.39,-113
"1992-12",-9.46961325966853,0.162440904647383,0.0394003402374736,-0.0471255713621469,0.00830395357859549,254356206687.67,-119.4
"1993-01",-1.04566210045662,-0.0619718746542313,0.065924548212573,0.0658618729705885,0.0412664800755448,-602283879892.521,1.09999999999991
"1993-02",-2.57142857142857,0.0767626300028825,-0.0493791069837,0.0595174366079915,0.0284428731673124,299047994594.78,-9.80000000000018
"1993-03",3.55909090909091,-0.110298306730281,0.0527372405051747,-0.015140500797985,-0.0174664414015895,164870915658.29,75.7
"1993-04",-0.808574277168495,-0.0853408173245374,-0.116012875441341,0.00662511818796888,-0.00459730038019234,135962111449.51,35.2
"1993-05",-5.34375000000001,0.23112630406772,0.110292005762508,-0.00889776757623097,0.0321662167886773,141480099710.67,76
"1993-06",0.402877697841727,-0.0802015619718853,-0.05018076996655,0.00473719327539291,0.03650901855233,326087797663.55,121.3
"1993-07",-1.06410256410256,0.168018670910898,-0.0794810544603411,0.0110262258017297,-0.0101609589201555,169358811323.16,-87.2
"1993-08",4.05333333333333,-0.180105921183398,0.122948939196456,0.00608936145811472,-0.0438819687157222,518360836581.75,-5.90000000000009
"1993-09",-5.15303430079156,0.107766325434664,0.057426561475646,0.0337581811642957,0.0407246452978641,865512505692.14,120.9
"1993-10",-0.559085133418043,-0.0216984445317664,-0.0331129095959488,0.0124989961804515,-0.0151432263838931,4254322205.67969,-69.1000000000001
