"","EXPCA","IMPCA","FRALOCOBXNOSTSAM","IMPGE","DEUXTIMVA01CXMLM","IMPUK","BOPGSTB","BOPSTB","WOTHAST","EXPMANUS","BSXRLV02USM086S","AUESA","BOPSIMP"
"2003-11",-0.190448155699563,955.593701999998,0.00262816729170323,295.634317,10290565145.387,-76.3006139999998,-0.0360007731709674,0.0361627322953291,-27.16175,2873.9,0.14,-0.0433962264150943,0.0070294784580498
"2003-12",1.42536804715459,2122.317816,0.00229690963632456,345.533016,11004446374.8815,531.716756,0.10481728407439,-0.00242365487154628,-13.98515,5209.9,0.16,0.0631163708086784,0.0240486376942131
"2004-01",-0.74534758524739,1190.517858,0.00174128599554657,136.3574,7120607686.2355,200.345961,0.0128176043557169,0.0257531584062196,-0.6028,2719.3,0.14,-0.267161410018553,0.01583183077532
"2004-02",1.5957293161585,2173.157513,0.00143068863187801,1128.084395,9226586401.8457,2.05725299999995,-0.00208310001119949,0.0599242065371861,-0.484,5261,0.09,0.20253164556962,0.00497857050088757
"2004-03",0.68833070701565,2660.635597,0.00130455108648797,519.911583999999,9386694921.8085,504.825771,0.0494253905548572,0.0701675977653631,0.1067,7487.3,0.24,0.111578947368421,0.00990781425002152
"2004-04",-0.260703185846673,3044.268582,0.00103352103281984,678.707246,7990043405.7535,652.914995,0.0113145399324122,0.0229693046565045,-0.00244999999999962,5769.4,0.23,-0.0795454545454545,0.010450435079338
"2004-05",-0.200791195403992,2582.191108,0.000691503111032388,732.485726,4692249122.76511,331.191038,0.00571029756995123,0.0220453153704838,0.3035,7024.6,0.21,0.0205761316872428,0.00088648739921493
"2004-06",0.295924203941307,4676.563862,0.000421041469707228,328.029532,6883331943.9595,434.585184,0.139128971884003,-0.0471340123826642,-0.0213000000000019,4035,0.18,0.0241935483870968,0.0112188949810206
"2004-07",0.282840735640702,2697.168221,0.000100685013900037,920.315218,9460906292.0943,48.622903,-0.047314884897266,-0.0572207084468664,0.1999,4959.9,0.13,0.0551181102362206,-0.00321154487821151
"2004-08",0.678984112962403,4433.982713,-0.000207181879288476,1352.795405,10627235616.4941,284.822901,0.0395496647676628,-0.269230769230769,0.396249999999998,6234,0.1,-0.108208955223881,0.0472404703125653
"2004-09",-0.313272051314257,2327.263255,-0.000506441241868272,978.930004,11091133205.4044,-150.397359,-0.0365537681510616,0.280803163979312,-0.368600000000001,6988.7,0.05,-0.0460251046025104,-0.0237733738213202
"2004-10",-0.331066338288155,2273.114652,-0.000773928682254788,973.847113,9017037283.12019,-74.3774429999999,0.0652401037031305,0.0698337292161519,-0.336550000000001,5557.4,0.1,-0.271929824561403,0.0255392297302828
"2004-11",0.468273250141847,4234.990966,-0.000938024822904393,912.645601,14133210138.8981,765.264856,0.0709978568055505,0.00555062166962705,-0.303249999999998,2528.1,0.09,0.373493975903614,0.0142475156642854
"2004-12",0.0213424328282372,2471.33129,-0.00102179524107382,490.773258,11291489403.1043,479.009859,-0.0686655247850493,0.0459262530359903,-0.876800000000001,6894.2,0.16,-0.0877192982456141,0.00912882663099079
"2005-01",0.0617215045375403,2913.742268,-0.00111232020749619,942.877391,7189935117.46389,341.693289,0.0231435959066244,0.0540426430230103,-2.0195,5377.9,0.13,0.0745192307692308,-0.00432816033689465
"2005-02",-0.24813453526837,2145.931598,-0.00118589148015746,389.891565,3834767403.7902,210.048313,0.0339034330562922,0.0719006609252955,-0.0704999999999991,3608,0.12,-0.0872483221476511,-0.00293714509496767
"2005-03",-0.000482761532501819,1526.384187,-0.00114003780212713,591.593371,5058039530.2774,99.6839579999996,-0.0853788687299893,0.0865097159940209,-0.147599999999999,3976.9,0.14,-0.0441176470588235,0.00404556166535741
"2005-04",0.227701303821465,1959.333822,-0.000781179075752259,320.030669,10447056371.4813,155.197224,0.0786313848006925,-0.0870163370593293,0.0327500000000001,7121.1,0.17,-0.00769230769230766,-0.000430309431600384
"2005-05",-0.0301086509393276,2277.647391,-0.000239607575182155,766.327021,9388456757.4784,435.165172,-0.0221943048576214,0.0634771143341495,0.16075,4246.8,0.12,0.193798449612403,0.00379618033813389
"2005-06",0.11694199505075,421.42222,0.000283852683135244,987.748465000001,5232329862.7527,177.889019,0.0376873661670236,-0.0348919589089621,0.2074,8294.8,0.05,-0.307359307359307,0.00686186595968663
"2005-07",-0.619902665780653,1310.739064,0.000676024086843308,501.375948,1484014869.8017,275.346587,0.00256225065345994,-0.07469260414755,0.381500000000001,5158.39999999999,0.11,0.140625,0.0100290416263311
"2005-08",1.54822038574627,3022.986359,0.00103189581030927,935.819122,7454819302.9889,682.987745,0.00761564981732721,0.028163427211424,0.20185,8533,0.07,0.0821917808219179,0.00295200122680561
"2005-09",-0.204290694646299,4261.841816,0.00141075589436457,450.752459,5660388738.95409,856.075357,0.104468465401311,0.0893132716049383,1.11285,3405.3,0.12,-0.0202531645569619,0.000611597416000809
"2005-10",0.0241671176041973,5314.157462,0.00181084144543231,504.866515000001,3546645970.6218,851.726035,0.0367282142967233,0.0472817425181513,1.01875,4234.4,0.07,-0.155038759689922,0.0110402261527296
"2005-11",-0.019850881805344,3507.240119,0.00214297415816511,605.762854000001,-2383259349.07591,773.419812,-0.0506355459748755,0.0081163341224213,0.854149999999999,8589.2,0.16,-0.0122324159021409,0.00729237512279912
"2005-12",0.00124496468617297,5363.030925,0.00233982683075351,488.251671,2603400989.3173,-100.434778,0.0111025853834228,-0.00234820530023483,1.96795,5988.1,0.07,0.532507739938081,0.0163171911924678
"2006-01",-0.0294203809777974,4126.372829,0.00239091265641678,654.893316,5446639445.5956,279.40289,0.0371546276793457,-0.00739744451916613,2.5115,7989.1,0.17,0.0424242424242425,0.0312984424595852
"2006-02",0.0862518238938295,2247.495497,0.00228288491276141,501.359469999999,7396243327.8464,111.546329,-0.0695715800319561,-0.121781842818428,0.455,7181.5,0.13,0.0736434108527131,0.0286665235129913
"2006-03",0.214737711829446,2468.117267,0.00184788036437888,676.534657,9608578891.97041,373.171866000001,0.00142838800796041,0.0838958534233365,-2.9026,10168.5,0.19,-0.0685920577617328,-0.0100198309153533
"2006-04",-0.553512453382702,1378.789716,0.00146782909085141,803.685442,4175963813.88961,137.065543000001,0.00330144077439631,0.0862989323843417,0.373999999999999,5489.2,0.1,0.114341085271318,0.0160955895273238
"2006-05",1.16856277741689,2931.290817,0.00107883759459493,30.0090840000003,10642781216.4349,754.878199,0.035381690973276,0.058968058968059,0.414499999999999,10272,0.13,-0.102608695652174,-0.00221353716321382
"2006-06",0.0128069062075662,2871.942014,0.000569752214977681,349.403493,12349651275.7186,492.981285000001,-0.0157055139004597,-0.082907965970611,1.0234,9991.3,0.13,0.127906976744186,0.00724461853097158
"2006-07",-0.131833133178894,1839.337168,4.79492963942896e-05,199.254715,14027498833.0389,524.88891,0.0487304075235109,-0.0254680384550514,0.359499999999999,8724.10000000001,0.03,-0.0378006872852235,-0.00278752839149288
"2006-08",0.0714414620761397,1257.909113,-0.000341989811312393,263.790523,10642257890.9039,466.480339,0.0204456799533694,0.0276912426445137,0.211600000000001,9658,0.09,-0.0625,-0.00300238119888185
"2006-09",-0.567678017328319,-983.565674000001,-0.000430141022618957,310.099472,13952412722.5495,-2.52014099999997,-0.0466042737671544,0.0414280902660829,0.176500000000001,12171,0.08,-0.15047619047619,0.00837660089996528
"2006-10",0.395025921998228,-2644.244125,-0.00019036276447737,-155.527426000001,14452208288.4439,-253.412638,-0.0853675397495968,0.0373544631306597,-0.0427499999999998,10204.7,0.12,0.334080717488789,0.0210421529589455
"2006-11",0.0683284031119797,-1140.709855,0.00025998514343617,254.996467999999,16205038694.7957,-375.445375,-0.0100608015049213,0.0689010132501948,-1.241,10043.3,0.14,0.053781512605042,0.0147251638930912
"2006-12",-0.785694949338916,-2299.168665,0.00063683206950671,442.678726,13389478791.9717,-28.6398280000003,0.0499329815572032,0.0758349132273588,-2.00525,8145.7,0.07,-0.0749601275917066,0.00861412053142496
"2007-01",0.928309723227309,-851.067070000001,0.00089544542341069,242.717568,12310932212.8893,238.958124,-0.0625060599204939,0.0521892368171344,-0.920399999999999,7921.6,0.05,-0.0810344827586207,0.00814637190815626
"2007-02",-0.256102759161973,-71.2327519999999,0.00110861674544993,111.337343,15745060299.6863,23.1942340000001,0.00801530665011896,0.0179077557330585,-1.19625,5414.7,0.08,0.232645403377111,0.010361343716399
"2007-03",1.11496882733451,759.926219000001,0.000981407949349755,292.803258,12856579919.7498,-31.3515070000003,0.063338976384685,0.0708771041640299,2.4385,6895.8,0.11,-0.286149162861492,0.0105775742526364
"2007-04",0.309203852093719,1247.159717,0.00074714830848821,113.320471,14677905141.5821,155.225825,-0.0271617644693888,-0.0338021510459756,-0.943,6529.3,0.14,0.181236673773987,0.00532916360851399
"2007-05",0.166060057503916,461.060013999999,0.000484327009028229,290.582787,7590053683.24899,54.9171180000003,-0.0152411809435646,0.0181039755351682,-0.9862,7254.2,0.18,-0.0866425992779782,0.00964956830878627
"2007-06",-0.314798633178671,1293.214324,0.000320675615184118,332.563608,11508259025.726,322.681699999999,0.0071342241321426,0.0498618286675478,-1.088,6363.5,0.12,0.0533596837944663,0.00697937625754519
"2007-07",1.40925184621915,1682.982636,0.000217142154677052,978.877161000001,11699774437.2424,462.583064,0.00415020751037543,0.0243762874799724,-1.17525,8517.39999999999,0.13,0.0281425891181988,0.0151420543240712
"2007-08",-0.492552746001076,603.571478000002,7.05710888331268e-05,792.744079999999,13107098406.4292,98.9855100000004,-0.0503269926634133,0.0999888280639034,-0.870200000000001,8024,0.14,0.0419708029197081,0.00944179609411044
"2007-09",0.654570777698192,1424.374419,-9.9150272986015e-05,450.130415,7714056074.98581,302.178841,0.0164994581745728,-0.0295551492992078,-0.94875,6030.3,0.09,-0.0893169877408057,-0.000914021083419647
"2007-10",0.840890173984603,3633.58591,-0.000207881500243756,1103.599125,16579348413.7579,927.126179999999,-0.0084597131950892,0.112820512820513,-0.75365,10484.6,0.14,0.0230769230769232,-0.00213466699194931
"2007-11",-0.121031416297086,2768.513688,-0.00010030835928232,295.026845,14893072346.883,607.650771000001,0.0523011826726321,0.0399699050126963,0.274600000000001,7873.60000000001,0.17,-0.0169172932330828,0.00748731740113695
"2007-12",-0.375504054678336,1666.814778,-5.83065280255202e-05,78.3436649999994,9486913114.15231,182.374081,-0.03941860848357,-0.0238741182854042,1.10375,7852.79999999999,0.05,0.18546845124283,0.00910000910000908
"2008-01",0.469738286723216,2244.278733,-0.000150545258198242,224.986326,18318625982.1442,518.274608,0.0523074283753646,-0.0447470817120622,0.796799999999999,8424.40000000001,0.17,-0.00967741935483868,0.0263624612979829
"2008-02",0.0892340695748168,3820.191596,-0.000209065699970479,987.723247,14965231985.6683,998.741997,0.047050000815142,-0.0413151003782368,0.9185,15372.9,0.12,-0.231270358306189,0.0143802717900656
"2008-03",-0.667471280260242,2730.428126,-0.00056918445612042,805.552414,15805594052.8026,-11.0535979999995,-0.0626702997275205,0.0842690945877593,0.78425,6479.8,0.13,0.279661016949152,-0.0111736682546557
"2008-04",2.33933881623809,5148.68282,-0.00117124997805751,1358.823438,23813536960.2907,487.034712,0.058687707641196,-0.0126889345027057,0.8413,12663.4,0.15,-0.0463576158940396,0.00948960523242226
"2008-05",-0.200374838844394,3350.706257,-0.00199463556075252,700.371414,18396908807.9393,453.317013,-0.0223275226334866,0.0922320922320923,1.13645,10527.8,0.19,0.0208333333333333,-0.000578486101871389
"2008-06",-0.23904178982364,3447.937061,-0.00295700979052937,1224.904,17891788337.5844,318.316551000001,-0.0228053281977211,-0.013929745630732,0.8095,13639.3,0.17,-0.0170068027210885,0.00978207391543418
"2008-07",0.800207135825125,7598.818024,-0.0040661669931874,845.352982999999,26497737754.6843,627.605927,0.100182298937411,-0.0665087303676406,0.905149999999999,16528.9,0.08,0.536332179930796,0.015648734630707
"2008-08",-0.803957346993594,3091.671614,-0.00508089931193778,-511.212495,9631256924.35701,312.447885,-0.0685933511472032,-0.140332738039289,0.54325,12148.7,0.14,-0.166666666666667,0.0261308801535118
"2008-09",0.779011632744387,3262.845411,-0.00603374747875507,-73.5267530000001,13855201279.8035,45.0040719999997,-0.0336891367759721,0.111196151322983,-0.0685000000000002,5232.29999999999,0.04,-0.0608108108108109,-0.0314055495971179
"2008-10",-2.00133045823755,-1007.081023,-0.0065518363840732,-401.995269999999,-3452708756.72461,-432.855309,0.00973595170171837,-0.0889501131555643,0.1898,2377.40000000001,-0.18,-0.0115107913669065,0.0208398398682603
"2008-11",1.80410111365859,-5407.6206,-0.00670061137877997,-956.404655,-15742444775.4272,-1096.336478,-0.258660621889321,-0.0853223890268927,0.935249999999998,-5523.7,-0.18,0.0029112081513829,-0.0153803365317758
"2008-12",-0.168449535721309,-5846.195274,-0.00613934251593951,-872.096566,-11358983903.0131,-490.656774,-0.0258131702561376,-0.0534891958908962,-0.36825,-9194.2,-0.29,-0.230769230769231,-0.00491497655499684
"2009-01",0.987860306786088,-9806.09195,-0.0050861390314898,-1864.936949,-23480255012.4926,-1503.977547,-0.105169786430732,-0.0242015968063872,-1.9404,-16244.6,-0.25,-0.49811320754717,-0.0254627001249006
"2009-02",-0.000650765587255853,-10236.942334,-0.00384494950606062,-2338.647002,-27443044145.123,-829.451884,-0.268535698853672,0.0970340066479161,-1.05875,-20637.1,-0.25,0.755639097744361,-0.0309341411552242
"2009-03",0.0531512172573219,-12073.132647,-0.00239633395208316,-3208.581244,-25869211312.6633,-1086.631169,0.0491695044825908,0.0235403799091014,-0.75075,-19384.5,-0.22,-0.449678800856531,-0.00108208843067115
